WN;BRI1_1C;BRI1_1E;BRI1_2C;BRI1_2E;BRI1_3C;BRI1_3E;BRI1_4C;BRI1_4E;BRI1_5C;BRI1_5E;BRI2_1C;BRI2_1E;BRI2_1RC ;BRI2_1RE;BRI2_2C;BRI2_2E;BRI2_3C;BRI2_3E;BRI2_4C;BRI2_4E;BRI2_5C;BRI2_5E;BRI3_1C;BRI3_1E;BRI3_2C;BRI3_2E;BRI3_3C;BRI3_3E;BRI3_4C;BRI3_4E;BRI3_5C;BRI3_5E
495,735932;0,128563;0,187451;0,113796;0,144598;0,122566;0,159842;0,134504;0,108201;0,108342;0,162711;0,113759;0,159354;0,097951;0,15005;0,132597;0,182676;0,141171;0,162892;0,128849;0,14632;0,114004;0,181623;0,126689;0,166032;0,148385;0,169878;0,137277;0,166799;0,136861;0,154768;0,084781;0,173567
497,599601;0,129882;0,19053;0,115118;0,146338;0,123603;0,161962;0,136332;0,109589;0,109315;0,164727;0,115277;0,161905;0,099075;0,152058;0,134542;0,184765;0,142835;0,165126;0,13023;0,148207;0,115169;0,183827;0,127943;0,168681;0,150382;0,172659;0,138898;0,169134;0,138552;0,15663;0,085908;0,175658
499,46327;0,131519;0,194034;0,116688;0,148368;0,124979;0,164756;0,138515;0,111043;0,110577;0,16704;0,116777;0,164787;0,100106;0,154511;0,137778;0,187288;0,144596;0,167696;0,132089;0,150332;0,116607;0,18648;0,129764;0,171702;0,152715;0,175307;0,140909;0,171417;0,140446;0,1586;0,087168;0,178179
501,326939;0,133573;0,197951;0,118474;0,150777;0,126735;0,168232;0,140819;0,112662;0,112052;0,169722;0,118298;0,168031;0,10116;0,157365;0,141221;0,190378;0,14663;0,170638;0,134342;0,1527;0,118237;0,189574;0,131797;0,175006;0,15524;0,177922;0,14314;0,173769;0,14254;0,160909;0,088323;0,181273
503,190608;0,135912;0,202068;0,120315;0,153468;0,128721;0,17205;0,142978;0,114444;0,113572;0,172637;0,119892;0,171496;0,102382;0,160392;0,143712;0,193849;0,148962;0,173781;0,136678;0,155187;0,11986;0,192883;0,133573;0,178383;0,157718;0,18064;0,14533;0,176272;0,14473;0,163617;0,089232;0,184793
505,054277;0,138248;0,206139;0,122035;0,156249;0,130745;0,175734;0,144882;0,116291;0,114995;0,175558;0,121558;0,174956;0,103856;0,163347;0,14486;0,197365;0,151437;0,17688;0,138781;0,157649;0,121305;0,1961;0,134892;0,181603;0,15999;0,18353;0,147308;0,178964;0,146873;0,166571;0,089973;0,188417
506,917946;0,140346;0,21011;0,123581;0,158987;0,132726;0,178994;0,146663;0,1181;0,11631;0,178349;0,123246;0,178266;0,105551;0,166138;0,145315;0,200715;0,153834;0,179809;0,140545;0,160045;0,122548;0,199052;0,135995;0,184556;0,162099;0,186581;0,149106;0,181888;0,14889;0,169522;0,090805;0,191885
508,781615;0,14219;0,214213;0,125063;0,161702;0,13475;0,181923;0,148613;0,119867;0,11765;0,181084;0,124899;0,18148;0,107346;0,16889;0,146287;0,203974;0,156042;0,18267;0,142142;0,16248;0,123719;0,201836;0,137409;0,187347;0,164273;0,189756;0,15094;0,185107;0,150826;0,172309;0,091984;0,195178
510,645284;0,144012;0,218844;0,126692;0,164544;0,136976;0,184931;0,150985;0,121719;0,119196;0,184004;0,126506;0,184831;0,109092;0,171855;0,148665;0,207445;0,158151;0,18573;0,143889;0,165137;0,125012;0,204771;0,139566;0,190248;0,166761;0,193059;0,15306;0,188683;0,152833;0,174972;0,093559;0,198522
512,508953;0,146131;0,224294;0,128639;0,167657;0,13949;0,188464;0,153813;0,123834;0,121044;0,187349;0,128124;0,188579;0,110702;0,175223;0,152369;0,211417;0,160397;0,189217;0,146032;0,16813;0,126554;0,208191;0,142485;0,193547;0,16965;0,19653;0,155581;0,192603;0,155067;0,177712;0,095308;0,202219
514,372622;0,148734;0,230529;0,130936;0,171055;0,142207;0,192695;0,156877;0,126317;0,123122;0,191174;0,129835;0,192829;0,11219;0,178998;0,156406;0,21593;0,162987;0,193141;0,148579;0,171406;0,128331;0,212218;0,145739;0,197375;0,172787;0,200197;0,158413;0,196742;0,157586;0,180742;0,09687;0,206426
516,23629;0,15174;0,237184;0,133457;0,1746;0,144908;0,197429;0,15985;0,129116;0,125223;0,195297;0,131698;0,197462;0,113657;0,183006;0,159569;0,220732;0,165948;0,197263;0,151316;0,174769;0,13023;0,216681;0,14873;0,201639;0,175884;0,204017;0,161328;0,200908;0,160313;0,184138;0,097993;0,211057
518,099959;0,15486;0,243806;0,13602;0,178112;0,147396;0,202272;0,162529;0,132051;0,127139;0,199414;0,133711;0,202226;0,115236;0,187055;0,161299;0,225468;0,1691;0,201271;0,153965;0,178018;0,13215;0,22125;0,151084;0,206106;0,178722;0,207895;0,164114;0,204954;0,163093;0,187797;0,09873;0,215864
519,963628;0,157802;0,250165;0,138503;0,181518;0,149648;0,206937;0,164985;0,13494;0,128798;0,2033;0,135823;0,206932;0,117017;0,191096;0,162072;0,229956;0,172189;0,205012;0,156394;0,181102;0,134087;0,225678;0,152884;0,210571;0,18133;0,211768;0,166715;0,208898;0,165806;0,191533;0,09944;0,22063
